Date,Symbol,Close,RSI,MACD_D,P_EMA9,P_EMA21,ATR_PCT,BB_PCT,VOL_R,RET1,RET5,VOL20
2010-02-19,HDFC,2480.0,53.306107408716564,17.755811558073837,0.016763,0.014099,0.02914,0.884497,0.5871,-0.000383,0.040923,0.017484
2010-02-19,ICICIBANK,833.55,50.212913701006215,5.090994635100426,0.00661,0.004745,0.032281,0.687322,0.7257,-0.007738,0.009079,0.023617
2010-02-19,ITC,248.5,48.058433468772996,0.35099659860344845,-0.000651,-0.002681,0.021641,0.443378,0.4242,0.001007,0.005462,0.013947
2010-02-19,RELIANCE,983.2,36.51642614635397,1.5124647469937074,-0.02237,-0.036949,0.029678,0.128229,0.9284,-0.014632,-0.031473,0.016139
2010-02-19,SBIN,1905.3,34.09550622084478,9.090361142966628,-0.014242,-0.040185,0.027547,0.24452,0.747,-0.0191,-0.00644,0.019086
2010-02-22,HDFC,2484.6,53.981247860465956,18.62769608700159,0.014864,0.014506,0.028273,0.866172,0.5013,0.001855,0.03919,0.01723
2010-02-22,ICICIBANK,831.6,49.55637936079866,4.678533983896179,0.003401,0.002177,0.031871,0.670111,0.5219,-0.002339,0.017434,0.023416
2010-02-22,ITC,247.6,46.50355075950623,0.2576292827179518,-0.003419,-0.005725,0.02151,0.38579,0.536,-0.003622,-0.007018,0.013319
2010-02-22,RELIANCE,977.95,35.388221918735695,0.2385088405135285,-0.022194,-0.038412,0.029898,0.109437,0.7145,-0.00534,-0.031733,0.016127
2010-02-22,SBIN,1916.35,36.18801280828971,9.378621224951303,-0.006832,-0.031571,0.026539,0.307264,0.5637,0.0058,0.011266,0.019017
2010-02-23,HDFC,2518.7,58.74345356837463,20.689807759502035,0.022902,0.025779,0.027959,0.959814,0.9648,0.013725,0.03727,0.017153
2010-02-23,ICICIBANK,847.75,54.824629048755845,5.289587207419861,0.018227,0.019633,0.031255,0.873305,0.8475,0.01942,0.018379,0.023649
2010-02-23,ITC,249.25,49.7156362897637,0.300702977815952,0.002576,0.000819,0.02103,0.523873,0.614,0.006664,-0.003598,0.012165
2010-02-23,RELIANCE,975.35,34.81455600577985,-0.5672458632956499,-0.019934,-0.037383,0.028788,0.124245,0.7313,-0.002659,-0.041661,0.016028
2010-02-23,SBIN,1911.9,35.696472069355764,9.434935461478375,-0.007324,-0.03084,0.025743,0.293735,0.5256,-0.002322,-0.00453,0.018968
2010-02-24,HDFC,2492.85,54.16729258424883,19.51680624284098,0.009898,0.013845,0.027629,0.823709,0.6101,-0.010263,0.011729,0.015416
2010-02-24,ICICIBANK,841.15,52.41541588508354,5.046218788098535,0.008223,0.010621,0.030503,0.762398,0.7315,-0.007785,0.000238,0.020173
2010-02-24,ITC,247.65,46.7822836018668,0.21894449070408095,-0.00309,-0.005098,0.020707,0.424599,0.8227,-0.006419,-0.016286,0.012178
2010-02-24,RELIANCE,978.8,36.29038392320077,-0.6499123966536189,-0.013217,-0.030985,0.028028,0.196056,0.7292,0.003537,-0.052056,0.015887
2010-02-24,SBIN,1921.25,37.613899373004315,10.202098084552631,-0.001976,-0.023784,0.024903,0.363472,0.4366,0.00489,-0.018193,0.015746
2010-02-25,HDFC,2462.5,49.310352386803686,16.04592689511729,-0.001919,0.001365,0.02804,0.653798,0.7863,-0.012175,-0.007437,0.015457
2010-02-25,ICICIBANK,851.6,55.73239395488188,5.356663025356051,0.01653,0.021025,0.030082,0.894118,1.1008,0.012423,0.013749,0.020259
2010-02-25,ITC,247.6,46.68957374833904,0.16164788531330498,-0.002635,-0.00482,0.020328,0.442847,1.4142,-0.000202,-0.002618,0.012127
2010-02-25,RELIANCE,963.1,32.66590912997657,-1.4956547373325861,-0.023372,-0.042478,0.028367,0.082767,1.1548,-0.01604,-0.034777,0.015921
2010-02-25,SBIN,1913.65,36.65708283673904,10.269628725598984,-0.004745,-0.025196,0.024209,0.339661,1.1746,-0.003956,-0.014801,0.015595
2010-02-26,HDFC,2500.3,54.7521385593684,15.629333346960347,0.010693,0.015192,0.02804,0.817898,1.109,0.01535,0.008185,0.015439
2010-02-26,ICICIBANK,872.15,61.426728921014224,6.630301792703262,0.03258,0.04134,0.030961,1.080939,1.7268,0.024131,0.046308,0.017315
2010-02-26,ITC,232.25,28.20797733035893,-0.8540915884262139,-0.052247,-0.060837,0.027382,-0.377526,5.4588,-0.061995,-0.065392,0.018001
2010-02-26,RELIANCE,978.95,39.261200988079835,-0.758486806650442,-0.005848,-0.02435,0.028242,0.266024,1.3789,0.016457,-0.004323,0.016324
2010-02-26,SBIN,1974.3,48.02061503525447,14.227252520998817,0.021324,0.005178,0.026071,0.779903,2.3693,0.031693,0.036215,0.016119
2010-03-02,HDFC,2560.3,61.768168559494875,18.530075213372104,0.027763,0.035829,0.027563,1.028395,1.2507,0.023997,0.030468,0.016162
2010-03-02,ICICIBANK,897.15,66.98983712726572,8.709762787590021,0.049132,0.064302,0.030404,1.183567,1.376,0.028665,0.078824,0.018261
